,UMAP1,UMAP2,UMAP3,esg_rating,ticker,dividend_yield,dividend_yield_qtl,quality_score,quality_score_qtl,carbon_intensity,carbon_intensity_qtl,aum_qtl,aum,investment_strategy,asset_class,asset_region,subsegment,grade
221,13.795539,4.8974524,-0.518387,A,SPHQ,1.78,Q2,6.76,Q3,100.97,Q2,Q4,5600000000.0,standard,equity,us,large_cap,A
222,13.17063,10.7106495,-2.2728705,A,VPU,3.27,Q4,6.99,Q4,,Q4,Q4,5580000000.0,standard,equity,us,not_specified,A
223,8.282218,7.235086,6.788268,BBB,EWZ,7.66,Q4,5.05,Q1,310.63,Q4,Q4,5540000000.0,standard,equity,brics,total_market,B
224,16.899176,17.216688,7.4068084,BBB,SHYG,,Q4,5.05,Q1,296.46,Q4,Q4,5510000000.0,standard,fixed_income,us,corporate,
225,15.156331,5.2040896,2.5040228,A,GBIL,,Q4,5.72,Q1,,Q4,Q4,5470000000.0,standard,fixed_income,us,government,
226,8.348335,7.1706123,6.748553,BBB,KWEB,0.57,Q1,4.63,Q1,16.2,Q1,Q4,5380000000.0,standard,equity,brics,not_specified,C
227,14.708599,5.232165,1.6729877,A,SPTS,,Q4,5.72,Q1,1.6,Q1,Q4,5370000000.0,standard,fixed_income,us,government,A
228,16.72078,16.153996,8.018728,A,FPE,,Q4,6.34,Q2,127.03,Q2,Q4,5370000000.0,standard,fixed_income,global,corporate,C
229,4.078905,4.7340612,7.738077,BBB,IJT,1.21,Q1,5.24,Q1,111.99,Q2,Q4,5340000000.0,standard,equity,us,small_cap,A
230,10.38961,6.4785714,7.9488387,A,QLD,,Q4,6.62,Q3,47.01,Q1,Q4,5270000000.0,leveraged,equity,us,large_cap,
231,8.36098,7.1702905,6.7532716,BBB,FXI,1.37,Q2,5.6,Q1,126.34,Q2,Q4,5270000000.0,standard,equity,brics,large_cap,B
232,9.812379,8.486081,-1.8063399,AA,VIGI,2.03,Q3,7.67,Q4,117.82,Q2,Q4,5170000000.0,standard,equity,global,total_market,B
233,12.089708,8.687913,-1.4103172,A,VCR,0.95,Q1,6.25,Q2,64.37,Q1,Q4,5170000000.0,standard,equity,us,not_specified,A
234,13.624033,8.743527,16.798008,,PDBC,,Q4,,Q4,,Q4,Q4,5120000000.0,standard,commodities,global,not_specified,B
235,11.689145,5.697258,-2.3569615,A,ONEQ,,Q4,6.46,Q3,54.05,Q1,Q4,5110000000.0,standard,equity,us,total_market,
